layer,flip_to_target_rate,flip_from_base_rate,delta_logit_target_mean,eligible_count,n_pairs
0,0.23,0.52,2.294375,86,100
1,0.24,0.53,2.3125,86,100
2,0.23,0.52,2.30875,86,100
3,0.24,0.53,2.3075,86,100
4,0.23,0.52,2.295,86,100
5,0.24,0.52,2.27875,86,100
6,0.24,0.52,2.285,86,100
7,0.24,0.52,2.30125,86,100
8,0.25,0.5,2.283125,86,100
9,0.26,0.48,2.24125,86,100
10,0.25,0.48,2.24375,86,100
11,0.25,0.47,2.22875,86,100
12,0.24,0.46,2.143125,86,100
13,0.18,0.34,1.8825,86,100
14,0.17,0.33,1.760625,86,100
15,0.17,0.17,1.45375,86,100
16,0.16,0.17,1.41125,86,100
17,0.17,0.15,1.316875,86,100
18,0.14,0.11,1.020625,86,100
19,0.15,0.07,0.960625,86,100
20,0.15,0.07,0.938125,86,100
21,0.16,0.06,0.92,86,100
22,0.16,0.06,0.85875,86,100
23,0.15,0.05,0.80875,86,100
24,0.16,0.05,0.674375,86,100
25,0.16,0.04,0.53,86,100
26,0.14,0.01,0.34375,86,100
27,0.15,0.02,0.326875,86,100
28,0.15,0.01,0.316875,86,100
29,0.14,0.01,0.109375,86,100
30,0.14,0.01,0.05,86,100
31,0.14,0.02,0.029375,86,100
32,0.14,0.02,0.000625,86,100
33,0.14,0.0,0.0075,86,100
34,0.14,0.01,-0.001875,86,100
35,0.14,0.0,0.0,86,100
